timestamp,Temperature,Pressure,Flow_Rate,pH_Value,Concentration
2025-05-28 03:02:45.681000+00:00,155.86,4.792,101.704,7.052,0.15
2025-05-28 03:02:50.681000+00:00,155.701,5.18,100.172,6.922,0.135
2025-05-28 03:02:55.681000+00:00,144.185,4.388,98.639,7.334,0.144
2025-05-28 03:03:00.681000+00:00,147.42,4.039,102.952,7.108,0.142
2025-05-28 03:03:05.681000+00:00,145.462,4.955,95.15,7.27,0.154
2025-05-28 03:03:10.681000+00:00,141.614,5.259,103.006,6.86,0.136
2025-05-28 03:03:15.681000+00:00,150.861,4.362,94.682,7.019,0.158
2025-05-28 03:03:20.681000+00:00,154.704,5.395,103.546,6.943,0.153
2025-05-28 03:03:25.681000+00:00,159.042,5.534,102.121,6.324,0.15
2025-05-28 03:03:30.681000+00:00,147.597,5.382,86.029,7.415,0.131
2025-05-28 03:03:35.681000+00:00,150.03,4.98,95.277,7.024,0.136
2025-05-28 03:03:40.681000+00:00,137.064,4.155,97.453,6.744,0.157
2025-05-28 03:03:45.681000+00:00,139.776,5.06,95.216,6.991,0.142
2025-05-28 03:03:50.681000+00:00,146.873,4.942,104.047,6.809,0.135
2025-05-28 03:03:55.681000+00:00,145.933,4.563,94.063,6.785,0.155
2025-05-28 03:04:00.681000+00:00,153.083,5.368,124.203,7.115,0.153
2025-05-28 03:04:05.681000+00:00,144.797,5.17,105.983,6.994,0.161
2025-05-28 03:04:10.681000+00:00,141.841,5.576,88.732,6.816,0.158
2025-05-28 03:04:15.681000+00:00,137.812,4.738,89.297,6.867,0.155
2025-05-28 03:04:20.681000+00:00,151.961,5.74,86.376,6.897,0.142
2025-05-28 03:04:25.681000+00:00,149.218,5.352,99.568,7.09,0.156
2025-05-28 03:04:30.681000+00:00,140.391,4.268,95.803,7.461,0.133
2025-05-28 03:04:35.681000+00:00,140.264,4.764,91.105,6.98,0.161
2025-05-28 03:04:40.681000+00:00,144.826,5.905,110.968,7.167,0.16
2025-05-28 03:04:45.681000+00:00,150.08,4.978,91.738,7.252,0.16
2025-05-28 03:04:50.681000+00:00,144.209,5.623,105.424,7.163,0.162
2025-05-28 03:04:55.681000+00:00,155.449,4.985,100.793,6.903,0.144
2025-05-28 03:05:00.681000+00:00,149.739,5.494,113.332,6.766,0.165
2025-05-28 03:05:05.681000+00:00,146.646,5.023,104.693,7.046,0.165
2025-05-28 03:05:10.681000+00:00,166.714,4.588,112.17,6.897,0.152
2025-05-28 03:05:15.681000+00:00,156.09,4.982,109.967,7.413,0.149
2025-05-28 03:05:20.681000+00:00,148.519,5.239,104.847,6.643,0.171
2025-05-28 03:05:25.681000+00:00,157.798,4.549,87.572,7.12,0.152
2025-05-28 03:05:30.681000+00:00,145.623,4.787,95.753,6.803,0.136
2025-05-28 03:05:35.681000+00:00,150.194,4.422,103.987,7.063,0.157
2025-05-28 03:05:40.681000+00:00,156.943,5.229,108.367,6.817,0.155
2025-05-28 03:05:45.681000+00:00,159.301,4.34,90.643,7.06,0.159
2025-05-28 03:05:50.681000+00:00,146.054,4.962,106.444,7.162,0.205
